Year,Name,Position,Date of Birth,Caps,Club
2010,Rodolfo Gamarra,4FW,(1988-12-10)10 December 1988 (aged 21),2,Libertad
2010,Ján Mucha,1GK,(1982-12-05)5 December 1982 (aged 27),15,Legia Warsaw
2010,Peter Pekarík,2DF,(1986-10-30)30 October 1986 (aged 23),21,VfL Wolfsburg
2010,Martin Škrtel,2DF,(1984-12-15)15 December 1984 (aged 25),39,Liverpool
2010,Marek Čech,2DF,(1983-01-26)26 January 1983 (aged 27),40,West Bromwich Albion
2010,Radoslav Zabavník,2DF,(1980-09-16)16 September 1980 (aged 29),44,Mainz 05
2010,Zdeno Štrba,3MF,(1976-06-09)9 June 1976 (aged 34),21,Skoda Xanthi
2010,Vladimír Weiss Jr.,3MF,(1989-11-30)30 November 1989 (aged 20),9,Bolton Wanderers
2010,Ján Kozák,3MF,(1980-04-22)22 April 1980 (aged 30),24,Timișoara
2010,Stanislav Šesták,3MF,(1982-12-16)16 December 1982 (aged 27),33,VfL Bochum
2010,Marek Sapara,3MF,(1982-07-31)31 July 1982 (aged 27),25,Ankaragücü
2010,Róbert Vittek,4FW,(1982-04-01)1 April 1982 (aged 28),70,Ankaragücü
2010,Dušan Perniš,1GK,(1984-11-28)28 November 1984 (aged 25),3,Dundee United
2010,Filip Hološko,4FW,(1984-01-17)17 January 1984 (aged 26),38,Beşiktaş
2010,Martin Jakubko,4FW,(1980-02-26)26 February 1980 (aged 30),24,Saturn Moscow Oblast
2010,Miroslav Stoch,3MF,(1989-10-19)19 October 1989 (aged 20),12,Twente
2010,Ján Ďurica,2DF,(1981-12-10)10 December 1981 (aged 28),39,Hannover 96
2010,Marek Hamšík,3MF,(1987-07-27)27 July 1987 (aged 22),32,Napoli
2010,Erik Jendrišek,4FW,(1986-10-26)26 October 1986 (aged 23),15,1. FC Kaiserslautern
2010,Juraj Kucka,3MF,(1987-02-26)26 February 1987 (aged 23),6,Sparta Prague
2010,Kamil Kopúnek,3MF,(1984-05-18)18 May 1984 (aged 26),9,Spartak Trnava
2010,Kornel Saláta,2DF,(1985-01-04)4 January 1985 (aged 25),4,Slovan Bratislava
2010,Martin Petráš,2DF,(1979-11-02)2 November 1979 (aged 30),38,Cesena
2010,Dušan Kuciak,1GK,(1985-05-21)21 May 1985 (aged 25),3,Vaslui
2010,Júlio César,1GK,(1979-09-03)3 September 1979 (aged 30),48,Inter Milan
2010,Maicon,2DF,(1981-07-26)26 July 1981 (aged 28),58,Inter Milan
2010,Lúcio,2DF,(1978-05-08)8 May 1978 (aged 32),91,Inter Milan
2010,Juan,2DF,(1979-02-01)1 February 1979 (aged 31),74,Roma
2010,Felipe Melo,3MF,(1983-08-26)26 August 1983 (aged 26),18,Juventus
2010,Michel Bastos,2DF,(1983-08-02)2 August 1983 (aged 26),5,Lyon
2010,Elano,3MF,(1981-06-14)14 June 1981 (aged 28),43,Galatasaray
2010,Gilberto Silva,3MF,(1976-10-07)7 October 1976 (aged 33),88,Panathinaikos
2010,Luís Fabiano,4FW,(1980-11-08)8 November 1980 (aged 29),38,Sevilla
2010,Kaká,3MF,(1982-04-22)22 April 1982 (aged 28),78,Real Madrid
2010,Robinho,4FW,(1984-01-25)25 January 1984 (aged 26),75,Santos
2010,Heurelho Gomes,1GK,(1981-02-15)15 February 1981 (aged 29),11,Tottenham Hotspur
2010,Dani Alves,2DF,(1983-05-06)6 May 1983 (aged 27),35,Barcelona
2010,Luisão,2DF,(1981-02-13)13 February 1981 (aged 29),42,Benfica
2010,Thiago Silva,2DF,(1984-09-22)22 September 1984 (aged 25),7,Milan
2010,Gilberto,2DF,(1976-04-25)25 April 1976 (aged 34),33,Cruzeiro
2010,Josué,3MF,(1979-07-19)19 July 1979 (aged 30),27,VfL Wolfsburg
2010,Ramires,3MF,(1987-03-24)24 March 1987 (aged 23),12,Benfica
2010,Júlio Baptista,3MF,(1981-10-01)1 October 1981 (aged 28),46,Roma
2010,Kléberson,3MF,(1979-06-19)19 June 1979 (aged 30),31,Flamengo
2010,Nilmar,4FW,(1984-07-14)14 July 1984 (aged 25),17,Villarreal
2010,Doni,1GK,(1979-10-22)22 October 1979 (aged 30),10,Roma
2010,Grafite,4FW,(1979-04-02)2 April 1979 (aged 31),3,VfL Wolfsburg
2010,Boubacar Barry,1GK,(1979-12-30)30 December 1979 (aged 30),45,Lokeren
2010,Benjamin Angoua,2DF,(1986-11-28)28 November 1986 (aged 23),7,Valenciennes
2010,Arthur Boka,2DF,(1983-04-02)2 April 1983 (aged 27),54,VfB Stuttgart
2010,Kolo Touré,2DF,(1981-03-19)19 March 1981 (aged 29),76,Manchester City
2010,Didier Zokora,3MF,(1980-12-14)14 December 1980 (aged 29),80,Sevilla
2010,Steve Gohouri,2DF,(1981-02-08)8 February 1981 (aged 29),11,Wigan Athletic
2010,Seydou Doumbia,4FW,(1987-12-31)31 December 1987 (aged 22),5,Young Boys
2010,Salomon Kalou,4FW,(1985-08-05)5 August 1985 (aged 24),28,Chelsea
2010,Cheick Tioté,3MF,(1986-06-21)21 June 1986 (aged 23),8,Twente
2010,Gervinho,4FW,(1987-05-27)27 May 1987 (aged 23),15,Lille
2010,Didier Drogba,4FW,(1978-03-11)11 March 1978 (aged 32),68,Chelsea
2010,Jean-Jacques Gosso,3MF,(1983-03-15)15 March 1983 (aged 27),6,Monaco
2010,Romaric,3MF,(1983-06-04)4 June 1983 (aged 27),38,Sevilla
2010,Emmanuel Koné,3MF,(1986-12-31)31 December 1986 (aged 23),12,Internațional
2010,Aruna Dindane,4FW,(1980-11-26)26 November 1980 (aged 29),54,Portsmouth
2010,Aristide Zogbo,1GK,(1981-12-30)30 December 1981 (aged 28),6,Maccabi Netanya
2010,Siaka Tiéné,2DF,(1982-03-22)22 March 1982 (aged 28),55,Valenciennes
2010,Kader Keïta,3MF,(1981-08-06)6 August 1981 (aged 28),55,Galatasaray
2010,Yaya Touré,3MF,(1983-05-13)13 May 1983 (aged 27),47,Barcelona
2010,Guy Demel,2DF,(1981-06-13)13 June 1981 (aged 28),26,Hamburger SV
2010,Emmanuel Eboué,2DF,(1983-06-04)4 June 1983 (aged 27),52,Arsenal
2010,Sol Bamba,2DF,(1985-01-13)13 January 1985 (aged 25),16,Hibernian
2010,Daniel Yeboah,1GK,(1984-11-13)13 November 1984 (aged 25),4,ASEC Mimosas
2010,Ri Myong-guk,1GK,(1986-09-09)9 September 1986 (aged 23),28,Pyongyang City
2010,Cha Jong-hyok,2DF,(1985-09-25)25 September 1985 (aged 24),31,Amrokgang
2010,Ri Jun-il,2DF,(1987-08-24)24 August 1987 (aged 22),26,Sobaeksu
2010,Pak Nam-chol I,3MF,(1985-07-02)2 July 1985 (aged 24),35,April 25
2010,Ri Kwang-chon,2DF,(1985-09-04)4 September 1985 (aged 24),41,April 25
2010,Kim Kum-il,4FW,(1987-10-10)10 October 1987 (aged 22),11,April 25
2010,An Chol-hyok,4FW,(1987-06-27)27 June 1987 (aged 22),16,Rimyongsu
2010,Ji Yun-nam,2DF,(1976-11-20)20 November 1976 (aged 33),23,April 25
2010,Jong Tae-se,4FW,(1984-03-02)2 March 1984 (aged 26),20,Kawasaki Frontale
2010,Hong Yong-jo,4FW,(1982-05-22)22 May 1982 (aged 28),40,Rostov
2010,Mun In-guk,3MF,(1978-09-29)29 September 1978 (aged 31),42,April 25
2010,Choe Kum-chol	,4FW,(1987-02-09)9 February 1987 (aged 23),16,April 25
2010,Pak Chol-jin,2DF,(1985-09-05)5 September 1985 (aged 24),34,Amrokgang
2010,Pak Nam-chol II,2DF,(1988-10-03)3 October 1988 (aged 21),12,Amrokgang
2010,Kim Yong-jun,3MF,(1983-07-19)19 July 1983 (aged 26),52,Pyongyang City
2010,Nam Song-chol,2DF,(1982-05-07)7 May 1982 (aged 28),41,April 25
2010,An Yong-hak,3MF,(1978-10-25)25 October 1978 (aged 31),24,Omiya Ardija
2010,N/A,1GK,(1984-10-16)16 October 1984 (aged 25),10,Amrokgang
2010,Ri Chol-myong,3MF,(1988-02-18)18 February 1988 (aged 22),10,Pyongyang City
2010,Kim Myong-won,1GK,(1983-07-15)15 July 1983 (aged 26),9,Amrokgang
2010,N/A,2DF,(1987-08-17)17 August 1987 (aged 22),15,Kyonggongop
2010,N/A,3MF,(1988-12-11)11 December 1988 (aged 21),7,Rimyongsu
2010,N/A,2DF,(1990-05-30)30 May 1990 (aged 20),3,Sobaeksu
2010,Eduardo,1GK,(1982-09-19)19 September 1982 (aged 27),15,Braga
2010,Bruno Alves,2DF,(1981-11-27)27 November 1981 (aged 28),31,Porto
2010,Paulo Ferreira,2DF,(1979-01-18)18 January 1979 (aged 31),61,Chelsea
2010,Rolando,2DF,(1985-08-31)31 August 1985 (aged 24),8,Porto
2010,Duda,3MF,(1980-06-27)27 June 1980 (aged 29),16,Málaga
2010,Ricardo Carvalho,2DF,(1978-05-18)18 May 1978 (aged 32),63,Chelsea
2010,Cristiano Ronaldo,4FW,(1985-02-05)5 February 1985 (aged 25),72,Real Madrid
2010,Pedro Mendes,3MF,(1979-02-26)26 February 1979 (aged 31),8,Sporting CP
2010,Liédson,4FW,(1977-12-17)17 December 1977 (aged 32),10,Sporting CP
2010,Danny,3MF,(1983-08-07)7 August 1983 (aged 26),11,Zenit Saint Petersburg
2010,Simão,3MF,(1979-10-31)31 October 1979 (aged 30),81,Atlético Madrid
2010,Beto,1GK,(1982-05-01)1 May 1982 (aged 28),1,Porto
2010,Miguel,2DF,(1980-01-04)4 January 1980 (aged 30),57,Valencia
2010,Miguel Veloso,3MF,(1986-05-11)11 May 1986 (aged 24),12,Sporting CP
2010,Pepe,2DF,(1983-02-26)26 February 1983 (aged 27),25,Real Madrid
2010,Raul Meireles,3MF,(1983-03-17)17 March 1983 (aged 27),34,Porto
2010,Rúben Amorim,3MF,(1985-01-27)27 January 1985 (aged 25),0,Benfica
2010,Hugo Almeida,4FW,(1984-05-23)23 May 1984 (aged 26),26,Werder Bremen
2010,Tiago,3MF,(1981-05-02)2 May 1981 (aged 29),51,Atlético Madrid
2010,Deco,3MF,(1977-08-27)27 August 1977 (aged 32),74,Chelsea
2010,Ricardo Costa,2DF,(1981-05-16)16 May 1981 (aged 29),8,Lille
2010,Daniel Fernandes,1GK,(1983-09-25)25 September 1983 (aged 26),2,Iraklis
2010,Fábio Coentrão,2DF,(1988-03-11)11 March 1988 (aged 22),4,Benfica
2010,Claudio Bravo,1GK,(1983-04-13)13 April 1983 (aged 27),41,Real Sociedad
2010,Ismael Fuentes,2DF,(1981-08-04)4 August 1981 (aged 28),25,Universidad Católica
2010,Waldo Ponce,2DF,(1982-12-04)4 December 1982 (aged 27),23,Universidad Católica
2010,Mauricio Isla,3MF,(1988-06-12)12 June 1988 (aged 21),10,Udinese
2010,Pablo Contreras,2DF,(1978-09-11)11 September 1978 (aged 31),49,PAOK
2010,Carlos Carmona,3MF,(1987-02-21)21 February 1987 (aged 23),18,Reggina
2010,Alexis Sánchez,4FW,(1988-12-19)19 December 1988 (aged 21),26,Udinese
2010,Arturo Vidal,3MF,(1987-05-22)22 May 1987 (aged 23),21,Bayer Leverkusen
2010,Humberto Suazo,4FW,(1981-05-10)10 May 1981 (aged 29),41,Zaragoza
2010,Jorge Valdivia,3MF,(1983-10-19)19 October 1983 (aged 26),36,Al Ain
2010,Mark González,4FW,(1984-07-10)10 July 1984 (aged 25),38,CSKA Moscow
2010,Miguel Pinto,1GK,(1983-07-04)4 July 1983 (aged 26),13,Universidad de Chile
2010,Marco Estrada,3MF,(1983-05-28)28 May 1983 (aged 27),20,Universidad de Chile
2010,Matías Fernández,3MF,(1986-05-15)15 May 1986 (aged 24),35,Sporting CP
2010,Jean Beausejour,2DF,(1984-06-01)1 June 1984 (aged 26),23,América
2010,Fabián Orellana,4FW,(1986-01-27)27 January 1986 (aged 24),13,Xerez
2010,Gary Medel,2DF,(1987-08-03)3 August 1987 (aged 22),23,Boca Juniors
2010,Gonzalo Jara,2DF,(1985-08-29)29 August 1985 (aged 24),31,West Bromwich Albion
2010,Gonzalo Fierro,2DF,(1983-03-21)21 March 1983 (aged 27),16,Flamengo
2010,Rodrigo Millar,3MF,(1981-11-03)3 November 1981 (aged 28),19,Colo-Colo
2010,Rodrigo Tello,3MF,(1979-10-14)14 October 1979 (aged 30),32,Beşiktaş
2010,Esteban Paredes,4FW,(1980-08-01)1 August 1980 (aged 29),12,Colo-Colo
2010,Luis Marín,1GK,(1983-05-18)18 May 1983 (aged 27),2,Unión Española
2010,Ricardo Canales,1GK,(1982-05-30)30 May 1982 (aged 28),2,Motagua
2010,Osman Chávez,2DF,(1984-07-29)29 July 1984 (aged 25),26,Platense
2010,Maynor Figueroa,2DF,(1983-05-02)2 May 1983 (aged 27),66,Wigan Athletic
2010,Johnny Palacios,2DF,(1986-12-20)20 December 1986 (aged 23),4,Olimpia
2010,Víctor Bernárdez,2DF,(1982-05-24)24 May 1982 (aged 28),40,Anderlecht
2010,Hendry Thomas,3MF,(1985-02-23)23 February 1985 (aged 25),39,Wigan Athletic
2010,Ramón Núñez,3MF,(1984-11-14)14 November 1984 (aged 25),16,Olimpia
2010,Wilson Palacios,3MF,(1984-07-29)29 July 1984 (aged 25),69,Tottenham Hotspur
2010,Carlos Pavón,4FW,(1973-10-19)19 October 1973 (aged 36),98,Real España
2010,Jerry Palacios,4FW,(1982-11-01)1 November 1982 (aged 27),11,Zhejiang Professional F.C.
2010,David Suazo,4FW,(1979-11-05)5 November 1979 (aged 30),50,Genoa
2010,Georgie Welcome,4FW,(1985-03-09)9 March 1985 (aged 25),11,Motagua
2010,Roger Espinoza,4FW,(1986-10-25)25 October 1986 (aged 23),10,Kansas City Wizards
2010,Boniek García,2DF,(1984-09-04)4 September 1984 (aged 25),42,Olimpia
2010,Walter Martínez,4FW,(1982-03-29)29 March 1982 (aged 28),34,Marathón
2010,Mauricio Sabillón,2DF,(1978-11-11)11 November 1978 (aged 31),25,Zhejiang Professional F.C.
2010,Édgar Álvarez,3MF,(1980-01-09)9 January 1980 (aged 30),46,Bari
2010,Noel Valladares,1GK,(1977-05-03)3 May 1977 (aged 33),71,Olimpia
2010,Danilo Turcios,3MF,(1978-05-08)8 May 1978 (aged 32),82,Olimpia
2010,Amado Guevara,3MF,(1976-05-02)2 May 1976 (aged 34),133,Motagua
2010,Emilio Izaguirre,2DF,(1986-05-10)10 May 1986 (aged 24),39,Motagua
2010,Donis Escober,1GK,(1981-02-03)3 February 1981 (aged 29),11,Olimpia
2010,Sergio Mendoza,2DF,(1981-05-23)23 May 1981 (aged 29),46,Motagua
2010,Iker Casillas,1GK,(1981-05-20)20 May 1981 (aged 29),104,Real Madrid
2010,Raúl Albiol,2DF,(1985-09-04)4 September 1985 (aged 24),23,Real Madrid
2010,Gerard Piqué,2DF,(1987-02-02)2 February 1987 (aged 23),16,Barcelona
2010,Carlos Marchena,2DF,(1979-07-31)31 July 1979 (aged 30),59,Valencia
2010,Carles Puyol,2DF,(1978-04-13)13 April 1978 (aged 32),83,Barcelona
2010,Andrés Iniesta,3MF,(1984-05-11)11 May 1984 (aged 26),43,Barcelona
2010,David Villa,4FW,(1981-12-03)3 December 1981 (aged 28),58,Valencia
2010,Xavi,3MF,(1980-01-25)25 January 1980 (aged 30),87,Barcelona
2010,Fernando Torres,4FW,(1984-03-20)20 March 1984 (aged 26),73,Liverpool
2010,Cesc Fàbregas,3MF,(1987-05-04)4 May 1987 (aged 23),49,Arsenal
2010,Joan Capdevila,2DF,(1978-02-03)3 February 1978 (aged 32),46,Villarreal
2010,Víctor Valdés,1GK,(1982-01-14)14 January 1982 (aged 28),1,Barcelona
2010,Juan Mata,3MF,(1988-04-28)28 April 1988 (aged 22),8,Valencia
2010,Xabi Alonso,3MF,(1981-11-25)25 November 1981 (aged 28),69,Real Madrid
2010,Sergio Ramos,2DF,(1986-03-30)30 March 1986 (aged 24),60,Real Madrid
2010,Sergio Busquets,3MF,(1988-07-16)16 July 1988 (aged 21),13,Barcelona
2010,Álvaro Arbeloa,2DF,(1983-01-17)17 January 1983 (aged 27),15,Real Madrid
2010,Pedro,4FW,(1987-07-28)28 July 1987 (aged 22),3,Barcelona
2010,Fernando Llorente,4FW,(1985-02-26)26 February 1985 (aged 25),7,Athletic Bilbao
2010,Javi Martínez,3MF,(1988-09-02)2 September 1988 (aged 21),2,Athletic Bilbao
2010,David Silva,3MF,(1986-01-08)8 January 1986 (aged 24),36,Valencia
2010,Jesús Navas,3MF,(1985-11-21)21 November 1985 (aged 24),6,Sevilla
2010,Pepe Reina,1GK,(1982-08-31)31 August 1982 (aged 27),20,Liverpool
2010,Diego Benaglio,1GK,(1983-09-08)8 September 1983 (aged 26),27,VfL Wolfsburg
2010,Stephan Lichtsteiner,2DF,(1984-01-16)16 January 1984 (aged 26),28,Lazio
2010,Ludovic Magnin,2DF,(1979-04-20)20 April 1979 (aged 31),62,Zürich
2010,Philippe Senderos,2DF,(1985-02-14)14 February 1985 (aged 25),40,Everton
2010,Steve von Bergen,2DF,(1983-06-10)10 June 1983 (aged 27),11,Hertha BSC
2010,Benjamin Huggel,3MF,(1977-07-07)7 July 1977 (aged 32),38,Basel
2010,Tranquillo Barnetta,3MF,(1985-05-22)22 May 1985 (aged 25),52,Bayer Leverkusen
2010,Gökhan Inler,3MF,(1984-06-27)27 June 1984 (aged 25),36,Udinese
2010,Alexander Frei,4FW,(1979-07-15)15 July 1979 (aged 30),75,Basel
2010,Blaise Nkufo,4FW,(1975-05-25)25 May 1975 (aged 35),31,Twente
2010,Valon Behrami,3MF,(1985-04-19)19 April 1985 (aged 25),27,West Ham United
2010,Marco Wölfli,1GK,(1982-08-22)22 August 1982 (aged 27),5,Young Boys
2010,Stéphane Grichting,2DF,(1979-03-30)30 March 1979 (aged 31),35,Auxerre
2010,Marco Padalino,3MF,(1983-12-08)8 December 1983 (aged 26),8,Sampdoria
2010,Hakan Yakin,3MF,(1977-02-22)22 February 1977 (aged 33),81,Luzern
2010,Gélson Fernandes,3MF,(1986-09-02)2 September 1986 (aged 23),24,Saint-Étienne
2010,Reto Ziegler,2DF,(1986-01-16)16 January 1986 (aged 24),12,Sampdoria
2010,Albert Bunjaku,4FW,(1983-11-29)29 November 1983 (aged 26),3,1. FC Nürnberg
2010,Eren Derdiyok,4FW,(1988-06-12)12 June 1988 (aged 21),21,Bayer Leverkusen
2010,Pirmin Schwegler,3MF,(1987-03-09)9 March 1987 (aged 23),4,Eintracht Frankfurt
2010,Johnny Leoni,1GK,(1984-06-30)30 June 1984 (aged 25),0,Zürich
2010,Mario Eggimann,2DF,(1981-01-24)24 January 1981 (aged 29),8,Hannover 96
2010,Xherdan Shaqiri,3MF,(1991-10-10)10 October 1991 (aged 18),3,Basel
2014,Jefferson,1GK,(1983-01-02)2 January 1983 (aged 31),9,Botafogo
2014,Dani Alves,2DF,(1983-05-06)6 May 1983 (aged 31),75,Barcelona
2014,Thiago Silva,2DF,(1984-09-22)22 September 1984 (aged 29),46,Paris Saint-Germain
2014,David Luiz,2DF,(1987-04-22)22 April 1987 (aged 27),36,Chelsea[7]
2014,Fernandinho,3MF,(1985-05-04)4 May 1985 (aged 29),7,Manchester City
2014,Marcelo,2DF,(1988-05-12)12 May 1988 (aged 26),31,Real Madrid
2014,Hulk,4FW,(1986-07-25)25 July 1986 (aged 27),35,Zenit Saint Petersburg
2014,Paulinho,3MF,(1988-07-25)25 July 1988 (aged 25),26,Tottenham Hotspur
2014,Fred,4FW,(1983-10-03)3 October 1983 (aged 30),33,Fluminense
2014,Neymar,4FW,(1992-02-05)5 February 1992 (aged 22),49,Barcelona
2014,Oscar,3MF,(1991-09-09)9 September 1991 (aged 22),31,Chelsea
2014,Júlio César,1GK,(1979-09-03)3 September 1979 (aged 34),80,Toronto FC[8]
2014,Dante,2DF,(1983-10-18)18 October 1983 (aged 30),12,Bayern Munich
2014,Maxwell,2DF,(1981-08-27)27 August 1981 (aged 32),9,Paris Saint-Germain
2014,Henrique,2DF,(1986-10-14)14 October 1986 (aged 27),5,Napoli
2014,Ramires,3MF,(1987-03-24)24 March 1987 (aged 27),42,Chelsea
2014,Luiz Gustavo,3MF,(1987-07-23)23 July 1987 (aged 26),19,VfL Wolfsburg
2014,Hernanes,3MF,(1985-05-29)29 May 1985 (aged 29),24,Inter Milan
2014,Willian,3MF,(1988-08-09)9 August 1988 (aged 25),7,Chelsea
2014,Bernard,4FW,(1992-09-08)8 September 1992 (aged 21),11,Shakhtar Donetsk
2014,Jô,4FW,(1987-03-20)20 March 1987 (aged 27),17,Atlético Mineiro
2014,Victor,1GK,(1983-01-21)21 January 1983 (aged 31),6,Atlético Mineiro
2014,Maicon,2DF,(1981-07-26)26 July 1981 (aged 32),72,Roma
2014,Loïc Feudjou,1GK,(1992-04-14)14 April 1992 (aged 22),2,Coton Sport
2014,Benoît Assou-Ekotto,2DF,(1984-03-24)24 March 1984 (aged 30),22,Queens Park Rangers[10]
2014,Nicolas Nkoulou,2DF,(1990-03-27)27 March 1990 (aged 24),48,Marseille
2014,Cédric Djeugoué,2DF,(1992-08-28)28 August 1992 (aged 21),3,Coton Sport
2014,Dany Nounkeu,2DF,(1986-04-11)11 April 1986 (aged 28),16,Beşiktaş[11]
2014,Alex Song,3MF,(1987-09-09)9 September 1987 (aged 26),47,Barcelona
2014,Landry N'Guémo,3MF,(1985-11-28)28 November 1985 (aged 28),40,Bordeaux
2014,Benjamin Moukandjo,4FW,(1988-11-12)12 November 1988 (aged 25),17,Nancy
2014,Samuel Eto'o,4FW,(1981-03-10)10 March 1981 (aged 33),117,Chelsea[12]
2014,Vincent Aboubakar,4FW,(1992-01-22)22 January 1992 (aged 22),24,Lorient
2014,Jean Makoun,3MF,(1983-05-29)29 May 1983 (aged 31),66,Rennes
2014,Henri Bedimo,2DF,(1984-06-04)4 June 1984 (aged 30),31,Lyon
2014,Eric Maxim Choupo-Moting,4FW,(1989-03-23)23 March 1989 (aged 25),26,Mainz 05
2014,Aurélien Chedjou,2DF,(1985-06-20)20 June 1985 (aged 28),31,Galatasaray
2014,Pierre Webó,4FW,(1982-01-20)20 January 1982 (aged 32),56,Fenerbahçe
2014,Charles Itandje,1GK,(1982-11-02)2 November 1982 (aged 31),9,Konyaspor[13]
2014,Stéphane Mbia,3MF,(1986-05-20)20 May 1986 (aged 28),49,Sevilla[14]
2014,Eyong Enoh,3MF,(1986-03-23)23 March 1986 (aged 28),38,Antalyaspor
2014,Fabrice Olinga,4FW,(1996-05-12)12 May 1996 (aged 18),8,Zulte Waregem[15]
2014,Edgar Salli,3MF,(1992-08-17)17 August 1992 (aged 21),9,Lens[16]
2014,Joël Matip,3MF,(1991-08-08)8 August 1991 (aged 22),23,Schalke 04
2014,Allan Nyom,2DF,(1988-05-10)10 May 1988 (aged 26),10,Granada[17]
2014,Sammy Ndjock,1GK,(1990-02-25)25 February 1990 (aged 24),3,Fethiyespor[18]
2014,Stipe Pletikosa,1GK,(1979-01-08)8 January 1979 (aged 35),111,Rostov
2014,Šime Vrsaljko,2DF,(1992-01-10)10 January 1992 (aged 22),7,Genoa
2014,Danijel Pranjić,2DF,(1981-12-02)2 December 1981 (aged 32),50,Panathinaikos
2014,Ivan Perišić,3MF,(1989-02-02)2 February 1989 (aged 25),29,VfL Wolfsburg
2014,Vedran Ćorluka,2DF,(1986-02-05)5 February 1986 (aged 28),72,Lokomotiv Moscow
2014,Dejan Lovren,2DF,(1989-07-05)5 July 1989 (aged 24),25,Southampton
2014,Ivan Rakitić,3MF,(1988-03-10)10 March 1988 (aged 26),62,Sevilla[21]
2014,Ognjen Vukojević,3MF,(1983-12-20)20 December 1983 (aged 30),55,Dynamo Kyiv
2014,Nikica Jelavić,4FW,(1985-08-27)27 August 1985 (aged 28),33,Hull City
2014,Luka Modrić,3MF,(1985-09-09)9 September 1985 (aged 28),75,Real Madrid
2014,Darijo Srna,2DF,(1982-05-01)1 May 1982 (aged 32),112,Shakhtar Donetsk
2014,Oliver Zelenika,1GK,(1993-05-14)14 May 1993 (aged 21),0,Lokomotiva[22]
2014,Gordon Schildenfeld,2DF,(1985-03-18)18 March 1985 (aged 29),21,Panathinaikos[23]
2014,Marcelo Brozović,3MF,(1992-11-16)16 November 1992 (aged 21),1,Dinamo Zagreb
2014,Milan Badelj,3MF,(1989-02-25)25 February 1989 (aged 25),9,Hamburger SV
2014,Ante Rebić,4FW,(1993-09-21)21 September 1993 (aged 20),5,Fiorentina
2014,Mario Mandžukić,4FW,(1986-05-21)21 May 1986 (aged 28),50,Bayern Munich[24]
2014,Ivica Olić,4FW,(1979-09-14)14 September 1979 (aged 34),92,VfL Wolfsburg
2014,Sammir,3MF,(1987-04-23)23 April 1987 (aged 27),6,Getafe
2014,Mateo Kovačić,3MF,(1994-05-06)6 May 1994 (aged 20),10,Inter Milan
2014,Domagoj Vida,2DF,(1989-04-29)29 April 1989 (aged 25),23,Dynamo Kyiv
2014,Eduardo,4FW,(1983-02-25)25 February 1983 (aged 31),63,Shakhtar Donetsk
2014,Danijel Subašić,1GK,(1984-10-27)27 October 1984 (aged 29),6,Monaco
2014,Jesús Corona,1GK,(1981-01-26)26 January 1981 (aged 33),34,Cruz Azul
2014,Francisco Javier Rodríguez,2DF,(1981-10-20)20 October 1981 (aged 32),95,América[28]
2014,Carlos Salcido,2DF,(1980-04-02)2 April 1980 (aged 34),122,UANL[29]
2014,Rafael Márquez,2DF,(1979-02-13)13 February 1979 (aged 35),120,León
2014,Diego Reyes,2DF,(1992-09-19)19 September 1992 (aged 21),14,Porto
2014,Héctor Herrera,3MF,(1990-04-19)19 April 1990 (aged 24),13,Porto
2014,Miguel Layún,2DF,(1988-06-25)25 June 1988 (aged 25),15,América
2014,Marco Fabián,3MF,(1989-07-21)21 July 1989 (aged 24),15,Cruz Azul[30]
2014,Raúl Jiménez,4FW,(1991-05-05)5 May 1991 (aged 23),25,América
2014,Giovani dos Santos,3MF,(1989-05-11)11 May 1989 (aged 25),76,Villarreal
2014,Alan Pulido,4FW,(1991-03-08)8 March 1991 (aged 23),6,UANL
2014,Alfredo Talavera,1GK,(1982-09-18)18 September 1982 (aged 31),14,Toluca
2014,Guillermo Ochoa,1GK,(1985-07-13)13 July 1985 (aged 28),59,Ajaccio[31]
2014,Javier Hernández,4FW,(1988-06-01)1 June 1988 (aged 26),62,Manchester United
2014,Héctor Moreno,2DF,(1988-01-17)17 January 1988 (aged 26),53,Espanyol
2014,Miguel Ángel Ponce,2DF,(1989-04-12)12 April 1989 (aged 25),8,Toluca[32]
2014,Isaác Brizuela,3MF,(1990-08-28)28 August 1990 (aged 23),7,Toluca
2014,Andrés Guardado,3MF,(1986-09-28)28 September 1986 (aged 27),104,Bayer Leverkusen[33]
2014,Oribe Peralta,4FW,(1984-01-12)12 January 1984 (aged 30),33,Santos Laguna[34]
2014,Javier Aquino,3MF,(1990-02-11)11 February 1990 (aged 24),22,Villarreal
2014,Carlos Peña,3MF,(1990-03-29)29 March 1990 (aged 24),16,León
2014,Paul Aguilar,2DF,(1986-03-06)6 March 1986 (aged 28),30,América
2014,José Juan Vázquez,3MF,(1988-03-14)14 March 1988 (aged 26),5,León
2014,Mathew Ryan,1GK,(1992-04-08)8 April 1992 (aged 22),7,Club Brugge
2014,Ivan Franjic,2DF,(1987-09-10)10 September 1987 (aged 26),9,Brisbane Roar
2014,Jason Davidson,2DF,(1991-06-29)29 June 1991 (aged 22),7,Heracles Almelo
2014,Tim Cahill,4FW,(1979-12-06)6 December 1979 (aged 34),69,New York Red Bulls
2014,Mark Milligan,3MF,(1985-08-04)4 August 1985 (aged 28),29,Melbourne Victory
2014,Matthew Spiranovic,2DF,(1988-06-27)27 June 1988 (aged 25),18,Western Sydney Wanderers
